movie_id,title,genres,n_ratings,n_watched,wishlist,recent,top10
356,Forrest Gump (1994),Comedy|Drama|Romance|War,837,0,1,0,0
296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,801,0,1,0,0
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,791,1,1,1,0
"593,""Silence of the Lambs, The (1991)"",Crime|Horror|Thriller,779,0,0,0,0"
1196,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi,769,1,1,1,0
480,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller,761,1,0,1,0
1270,Back to the Future (1985),Adventure|Comedy|Sci-Fi,742,0,0,0,0
1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure,734,0,0,0,0
2858,American Beauty (1999),Drama|Romance,720,0,0,0,0
"2762,""Sixth Sense, The (1999)"",Drama|Horror|Mystery,714,0,0,0,0"
1210,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi,706,1,1,1,0
"4993,""Lord of the Rings: The Fellowship of the Ring, The (2001)"",Adventure|Fantasy,703,0,1,0,0"
589,Terminator 2: Judgment Day (1991),Action|Sci-Fi,701,1,0,0,0
780,Independence Day (a.k.a. ID4) (1996),Action|Adventure|Sci-Fi|Thriller,694,0,0,0,0
2959,Fight Club (1999),Action|Crime|Drama|Thriller,677,0,1,0,0
110,Braveheart (1995),Action|Drama|War,674,0,0,0,0
"50,""Usual Suspects, The (1995)"",Crime|Mystery|Thriller,671,0,0,0,0"
3578,Gladiator (2000),Action|Adventure|Drama,664,0,1,0,0
1265,Groundhog Day (1993),Comedy|Fantasy|Romance,660,0,0,0,0
2028,Saving Private Ryan (1998),Action|Drama|War,658,0,0,0,0
608,Fargo (1996),Comedy|Crime|Drama|Thriller,658,0,0,0,0
"5952,""Lord of the Rings: The Two Towers, The (2002)"",Adventure|Fantasy,657,0,1,0,0"
4306,Shrek (2001),Adventure|Animation|Children|Comedy|Fantasy|Romance,642,4,0,1,0
1291,Indiana Jones and the Last Crusade (1989),Action|Adventure,634,1,0,0,0
"1240,""Terminator, The (1984)"",Action|Sci-Fi|Thriller,632,0,1,0,0"
1721,Titanic (1997),Drama|Romance,624,0,0,0,0
1097,E.T. the Extra-Terrestrial (1982),Children|Drama|Sci-Fi,622,1,0,0,0
"7153,""Lord of the Rings: The Return of the King, The (2003)"",Action|Adventure|Drama|Fantasy,621,0,1,0,0"
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,619,0,0,0,0
1136,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy,613,0,0,0,0
1214,Alien (1979),Horror|Sci-Fi,611,0,0,0,0
"1527,""Fifth Element, The (1997)"",Action|Adventure|Comedy|Sci-Fi,609,0,0,0,0"
4226,Memento (2000),Mystery|Thriller,606,0,0,0,0
2716,Ghostbusters (a.k.a. Ghost Busters) (1984),Action|Comedy|Sci-Fi,603,1,0,0,0
2628,Star Wars: Episode I - The Phantom Menace (1999),Action|Adventure|Sci-Fi,591,1,0,1,0
541,Blade Runner (1982),Action|Sci-Fi|Thriller,588,0,1,0,0
377,Speed (1994),Action|Romance|Thriller,588,0,0,0,0
6539,Pirates of the Caribbean: The Curse of the Black Pearl (2003),Action|Adventure|Comedy|Fantasy,585,5,0,0,0
1704,Good Will Hunting (1997),Drama|Romance,584,0,0,0,0
150,Apollo 13 (1995),Adventure|Drama|IMAX,580,0,0,0,0
"457,""Fugitive, The (1993)"",Thriller,570,0,0,0,0"
"1197,""Princess Bride, The (1987)"",Action|Adventure|Comedy|Fantasy|Romance,569,0,0,0,0"
4963,Ocean's Eleven (2001),Crime|Thriller,569,0,0,0,0
5445,Minority Report (2002),Action|Crime|Mystery|Sci-Fi|Thriller,564,0,0,0,0
3793,X-Men (2000),Action|Adventure|Sci-Fi,564,3,0,0,0
